timesteps,episode_reward,episode_length
48656,3.496874,91
48704,4.087087,17
48760,-1.888624,7
48864,7.240564,98
48904,2.415259,75
49000,13.322888,168
49296,12.466306,161
49304,6.487209,104
49320,8.797496,86
49512,7.160295,107
49528,-0.631986,2
49568,12.331269,88
49568,8.665748,83
49568,6.584862,33
49608,13.06393,106
49608,6.616861,36
49776,5.422149,21
49792,2.585382,62
49848,8.970598,106
49872,3.801626,43
49888,0.990484,12
49904,3.724516,42
49912,2.292797,3
49976,0.596609,25
49984,-0.011784,14
50024,0.086363,6
50096,2.465887,61
50120,3.599538,26
50136,3.451716,29
50136,8.136432,71
50152,2.241755,2
50208,0.133603,7
50256,1.397045,17
50312,8.589634,93
50320,-0.748422,8
50384,3.622337,50
50480,8.370944,79
50568,8.148632,54
50568,5.356112,32
50680,4.457461,37
50704,11.578505,76
50720,9.098046,87
50880,3.842373,39
50904,-1.068229,3
50920,8.349925,75
51032,4.687972,58
51064,6.868377,45
51072,0.575256,19
51080,8.657932,75
51136,10.017147,116
51144,7.707938,53
51184,5.179941,15
51248,5.829098,27
51264,1.503621,15
51280,4.22256,26
51464,4.678031,27
51480,2.292882,37
51576,0.566547,12
51640,7.914512,63
51680,0.331308,5
51680,12.153654,97
51728,5.211115,56
51752,11.561369,134
51904,4.885092,55
51968,8.255046,88
52048,0.659453,18
52104,4.958152,47
52160,5.039137,60
52272,13.096656,149
52296,3.927623,31
52328,-1.351574,7
52376,3.707979,27
52400,5.832698,54
52416,3.776308,83
52424,4.878719,40
52432,13.454594,107
52536,2.052196,17
52688,5.187907,45
52728,15.434702,131
52792,4.996247,45
52808,0.139476,10
52896,10.478101,60
52912,5.86769,47
53024,5.778079,42
53112,-0.166622,25
53120,-0.246562,12
53128,-0.574586,2
53136,7.238773,89
53168,13.094681,109
53184,2.220672,49
53216,6.948268,51
53344,7.540607,28
53472,5.220246,38
53480,5.702845,73
53504,3.200473,20
53728,4.44433,32
53760,1.679379,32
53808,12.724046,179
53944,12.710495,91
54016,2.761979,32
54040,16.035013,114
54088,4.009515,113
54088,1.228913,18
54112,6.94997,38
54112,12.933364,122
54136,10.256606,82
54200,0.547813,14
54216,6.29788,61
54232,3.824833,12
54248,1.560503,20
54288,-0.993228,11
54368,1.180445,15
54416,7.04594,47
54520,8.241354,36
54600,11.73433,73
54704,5.038876,52
54736,2.619819,27
54768,10.888883,82
54776,3.143092,45
54784,-0.868911,1
54864,0.561526,10
54912,1.609801,22
55040,7.730018,84
55096,10.193271,123
55104,6.136903,42
55128,5.012204,33
55176,0.451616,17
55240,10.795854,80
55240,8.10599,67
55296,4.612082,15
55312,15.374931,137
55392,2.389853,33
55408,0.368122,21
55424,4.59125,41
55680,6.227624,72
55704,6.056897,49
55728,1.979392,38
55776,-1.394739,6
55792,0.979888,14
55832,4.798983,53
55832,13.817399,115
55872,5.134801,72
55880,-0.38743,11
55888,2.654493,62
55928,0.288741,12
56000,4.563696,14
56000,2.075726,37
56080,5.697632,31
56120,-0.243248,5
56160,3.33455,36
56224,2.060642,28
56280,4.585782,50
56336,-1.677088,137
56432,0.813321,26
56640,9.167202,65
56704,12.101978,88
56776,1.46304,77
56792,12.74132,108
56904,10.333202,71
56912,7.895858,79
56928,12.512427,144
57008,5.163818,38
57064,2.8749,20
57104,3.668056,84
57136,2.090126,43
57152,6.128488,30
57168,-0.90384,2
57176,-1.17601,1
57256,2.113881,24
57360,6.480722,54
57368,-0.853672,1
57424,4.69013,40
57464,1.698589,36
57480,7.490078,43
57512,0.828548,18
57544,-0.854969,4
